"Path","Methods","Mutation","RateLimit","BodyLimit","Audit","AuthGuard","Idempotency"
"D:\VidyaPath\app\api\adaptive-test\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\admin\analytics\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\announcements\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\class-sections\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\class-sections\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\events\route.ts","GET,POST,DELETE","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\import\roster\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\overview\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\session\bootstrap\route.ts","POST","True","True","True","True","False","False"
"D:\VidyaPath\app\api\admin\session\logout\route.ts","POST","True","False","False","False","False","False"
"D:\VidyaPath\app\api\admin\session\me\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\settings\route.ts","GET,PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\students\[id]\grades\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\admin\students\[id]\parent\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\admin\students\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\students\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\class-teacher-tag\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\reset-pin\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\scopes\[scopeId]\route.ts","DELETE","True","False","False","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\[id]\scopes\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\teachers\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\admin\timetable\route.ts","GET,PUT","True","False","True","True","True","False"
"D:\VidyaPath\app\api\affiliate\requests\route.ts","POST","True","False","True","True","False","False"
"D:\VidyaPath\app\api\ai-tutor\route.ts","POST","True","True","True","False","True","False"
"D:\VidyaPath\app\api\analytics\track\route.ts","POST","True","False","True","False","False","False"
"D:\VidyaPath\app\api\auth\session\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\career\exams\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\career\map\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\career\tracks\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\chapter-diagnose\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\chapter-drill\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\chapter-pack\route.ts","POST","True","True","True","False","True","False"
"D:\VidyaPath\app\api\chapter-remediate\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\context-pack\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\cron\dispatch-observability-alerts\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\cron\verify-career-sources\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\affiliate-requests\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\developer\affiliate-requests\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\audit\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\data-quality\reindex-context\route.ts","POST","True","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\data-quality\summary\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\data-quality\verify-career-sources\route.ts","GET,POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\developer\observability\dispatch\route.ts","POST","True","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\observability\summary\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\schools\[id]\admins\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\developer\schools\[id]\overview\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\schools\[id]\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\developer\schools\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\developer\session\login\route.ts","POST","True","True","True","True","False","False"
"D:\VidyaPath\app\api\developer\session\logout\route.ts","POST","True","False","False","False","False","False"
"D:\VidyaPath\app\api\developer\session\me\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\developer\usage\tokens\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\exam\session\heartbeat\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\exam\session\start\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\exam\session\submit\route.ts","POST","True","False","True","True","True","True"
"D:\VidyaPath\app\api\generate-flashcards\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\generate-quiz\route.ts","POST","True","True","True","False","True","False"
"D:\VidyaPath\app\api\health\auth-diag\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\health\ready\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\image-solve\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\integrations\sheets\export\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\integrations\sheets\import\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\integrations\sheets\status\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\mock-exam\session\route.ts","GET,POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\mock-exam\submit\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\paper-evaluate\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\parent\dashboard\route.ts","GET","False","False","False","False","False","False"
"D:\VidyaPath\app\api\parent\session\login\route.ts","POST","True","False","True","False","False","False"
"D:\VidyaPath\app\api\parent\session\logout\route.ts","POST","True","False","False","False","False","False"
"D:\VidyaPath\app\api\push\send\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\push\subscribe\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\revision-plan\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\student\announcements\read\route.ts","POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\student\announcements\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\attendance\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\calendar\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\certificate\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\grades\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\notes\route.ts","GET,POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\student\resources\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\session\login\route.ts","POST","True","True","True","True","False","False"
"D:\VidyaPath\app\api\student\session\logout\route.ts","POST","True","False","False","False","False","False"
"D:\VidyaPath\app\api\student\session\me\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\srs\route.ts","GET,POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\student\streaks\route.ts","GET,POST","True","False","True","False","True","False"
"D:\VidyaPath\app\api\student\submission-results\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\student\timetable\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\ai\route.ts","POST","True","True","True","False","True","False"
"D:\VidyaPath\app\api\teacher\announcement-reads\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\assignment-pack\[id]\edit-questions\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\assignment-pack\[id]\lifecycle\route.ts","PATCH","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\assignment-pack\approve\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\assignment-pack\archive\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\assignment-pack\publish\route.ts","POST","True","False","True","True","True","True"
"D:\VidyaPath\app\api\teacher\assignment-pack\regenerate\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\assignment-pack\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\attendance\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\calendar\route.ts","GET,POST,DELETE","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\class-sections\[id]\enroll-subjects\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\class-sections\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\class-sections\students\import\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\gradebook\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\question-bank\item\[id]\route.ts","PATCH,DELETE","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\question-bank\item\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\resources\route.ts","GET,POST,DELETE","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\route.ts","GET,POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\school-announcements\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\session\login\route.ts","POST","True","True","True","True","False","False"
"D:\VidyaPath\app\api\teacher\session\logout\route.ts","POST","True","False","False","False","False","False"
"D:\VidyaPath\app\api\teacher\session\me\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\submission\[submissionId]\route.ts","GET","False","False","False","False","True","False"
"D:\VidyaPath\app\api\teacher\submission\grade\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\submission\release-results\route.ts","POST","True","False","True","True","True","True"
"D:\VidyaPath\app\api\teacher\submission\route.ts","POST","True","False","True","True","True","False"
"D:\VidyaPath\app\api\teacher\submission-summary\route.ts","GET","False","False","False","False","True","False"
